法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
地质资料管理条例,行政法规,2017年3月1日,有效,,,,一,,,"区域地质调查资料，包括：各种比例尺的区域地质调查地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,二,,,"矿产地质资料，包括：矿产勘查和矿山开发勘探及关闭矿井地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,三,,,"石油、天然气、煤层气地质资料，包括：石油、天然气、煤层气资源评价、地质勘查以及开发阶段的地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,四,,,"海洋地质资料，包括：海洋(含远洋)地质矿产调查、地形地貌调查、海底地质调查、水文地质、工程地质、环境地质调查、地球物理、地球化学调查及海洋钻井(完井)地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,五,,,"水文地质、工程地质资料，包括：
(一)区域的或者国土整治、国土规划区的水文地质、工程地质调查地质资料和地下水资源评价、地下水动态监测的地质资料。
(二)大中型城市、重要能源和工业基地、县(旗)以上农田(牧区)的重要供水水源地的地质勘察资料。
(三)地质情况复杂的铁路干线，大中型水库、水坝，大型水电站、火电站、核电站、抽水蓄能电站，重点工程的地下储库、洞(硐)室，主要江河的铁路、公路特大桥，地下铁道、6公里以上的长隧道，大中型港口码头、通航建筑物工程等国家重要工程建设项目的水文地质、工程地质勘察地质资料。
(四)单独编写的矿区水文地质、工程地质资料，地下热水、矿泉水等专门性水文地质资料以及岩溶地质资料。
(五)重要的小型水文地质、工程地质勘察资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,六,,,"环境地质、灾害地质资料，包括：
(一)地下水污染区域、地下水人工补给、地下水环境背景值、地方病区等水文地质调查资料。
(二)地面沉降、地面塌陷、地面开裂及滑坡崩塌、泥石流等地质灾害调查资料。
(三)建设工程引起的地质环境变化的专题调查资料，重大工程和经济区的环境地质调查评价资料等。
(四)地质环境监测资料。
(五)地质灾害防治工程勘查资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,七,,,"地震地质资料，包括：自然地震地质调查、宏观地震考察、地震烈度考察地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,八,,,"物探、化探和遥感地质资料，包括：区域物探、区域化探地质资料；物探、化探普查、详查地质资料；遥感地质资料及与重要经济建设区、重点工程项目和与大中城市的水文、工程、环境地质工作有关的物探、化探地质资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,九,,,"地质、矿产科学研究成果及综合分析资料，包括：
(一)经国家和省一级成果登记的各类地质、矿产科研成果资料及各种区域性图件。
(二)矿产产地资料汇编、矿产储量表、成矿远景区划、矿产资源总量预测、矿产资源分析以及地质志、矿产志等综合资料。
"
地质资料管理条例,行政法规,2017年3月1日,有效,,,,十,,,专项研究地质资料，包括：旅游地质、农业地质、天体地质、深部地质、火山地质、第四纪地质、新构造运动、冰川地质、黄土地质、冻土地质以及土壤、沼泽调查、极地地质等地质资料。
